epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,17685.7,0.79074,1.22418,0.75867,0.97898,0.14636,0.09447,0.09485,0.03326,0.16981,0.05769,0.05996,0.0214,2.23194,4.11048,3.45822,2.39712,0.000253086,0.000253086,0.000253086
80,17776.6,0.83141,1.30375,0.80668,0.98292,0.15459,0.08333,0.08464,0.03342,0.12857,0.0641,0.05218,0.01962,2.25174,4.07538,3.42053,2.36716,0.000242087,0.000242087,0.000242087
81,17865.5,0.81566,1.27599,0.79006,0.97697,0.14562,0.1137,0.08391,0.03373,0.11516,0.09447,0.05,0.01775,2.20891,3.98768,3.43109,2.27268,0.000231088,0.000231088,0.000231088
82,17955,0.77995,1.19814,0.73581,0.96192,0.15993,0.11201,0.09253,0.03546,0.11963,0.10088,0.05931,0.02017,2.21239,3.94171,3.4122,2.26134,0.000220089,0.000220089,0.000220089
83,18043.7,0.81757,1.22745,0.76974,0.97183,0.49253,0.12483,0.09293,0.03697,0.50544,0.12339,0.07651,0.02438,2.18863,3.89089,3.31735,2.22594,0.00020909,0.00020909,0.00020909
84,18134.7,0.74885,1.2041,0.71884,0.9502,0.49241,0.13124,0.08399,0.02898,0.461,0.11842,0.05688,0.01679,2.18792,3.94179,3.32029,2.23316,0.000198091,0.000198091,0.000198091
85,18226.6,0.77474,1.22101,0.75212,0.95863,0.47625,0.14238,0.07659,0.02674,0.43164,0.11673,0.04416,0.01539,2.17946,4.00439,3.33491,2.25343,0.000187092,0.000187092,0.000187092
86,18317,0.76131,1.2043,0.74029,0.95967,0.46148,0.14744,0.07358,0.02472,0.42665,0.09919,0.0406,0.0158,2.19274,4.11483,3.33066,2.27416,0.000176094,0.000176094,0.000176094
87,18408.1,0.76846,1.20149,0.72152,0.95919,0.14432,0.1471,0.07147,0.02609,0.10059,0.07524,0.04499,0.01702,2.21116,4.12436,3.34315,2.29507,0.000165095,0.000165095,0.000165095
88,18497,0.7477,1.20412,0.7312,0.96083,0.12877,0.12314,0.07595,0.02831,0.10203,0.08165,0.05141,0.01862,2.21588,4.08887,3.32654,2.30627,0.000154096,0.000154096,0.000154096
89,18589.8,0.74811,1.17731,0.70105,0.94087,0.45631,0.10088,0.07053,0.03169,0.46859,0.07524,0.05378,0.02077,2.21573,4.03661,3.28585,2.30205,0.000143097,0.000143097,0.000143097
90,18679.4,0.77492,1.18705,0.72015,0.96416,0.45554,0.07692,0.07351,0.03317,0.48693,0.07524,0.05745,0.02187,2.18101,4.06486,3.31543,2.29702,0.000132098,0.000132098,0.000132098
91,18765.6,0.77943,1.20401,0.78532,0.97703,0.43828,0.08333,0.07217,0.03164,0.47434,0.07524,0.05334,0.02022,2.16993,4.04844,3.28888,2.29515,0.000121099,0.000121099,0.000121099
92,18851.1,0.7413,1.12558,0.71847,0.94895,0.12292,0.09447,0.07057,0.03289,0.10297,0.07537,0.05027,0.01951,2.13409,4.10317,3.322,2.27452,0.0001101,0.0001101,0.0001101
93,20393.8,0.73142,1.12664,0.71317,0.93753,0.11627,0.08806,0.07268,0.03364,0.10309,0.07524,0.05151,0.02063,2.14851,4.17482,3.32116,2.27394,9.91012e-05,9.91012e-05,9.91012e-05
94,20485,0.72349,1.08454,0.70247,0.93378,0.12025,0.09278,0.07135,0.03079,0.08831,0.06242,0.04827,0.01907,2.19683,4.22424,3.31121,2.29854,8.81023e-05,8.81023e-05,8.81023e-05
95,20567.8,0.74632,1.14727,0.73702,0.95647,0.0963,0.10088,0.05624,0.02335,0.09033,0.06883,0.04054,0.01606,2.24112,4.24289,3.26182,2.32162,7.71034e-05,7.71034e-05,7.71034e-05
96,20661.9,0.71732,1.06908,0.69,0.93812,0.08076,0.09143,0.0521,0.02147,0.07784,0.07524,0.03991,0.01569,2.27669,4.32109,3.26681,2.34078,6.61045e-05,6.61045e-05,6.61045e-05
97,20891.2,0.72154,1.0949,0.69979,0.9486,0.08465,0.08333,0.0522,0.02218,0.08921,0.07524,0.04004,0.01663,2.27011,4.2816,3.2606,2.31303,5.51056e-05,5.51056e-05,5.51056e-05
98,20973.2,0.71477,1.10055,0.69381,0.94441,0.09797,0.09615,0.06982,0.02455,0.1091,0.07524,0.04218,0.01841,2.24532,4.27062,3.27372,2.31463,4.41067e-05,4.41067e-05,4.41067e-05
99,21055.7,0.68711,1.06673,0.66845,0.93357,0.08696,0.10256,0.0712,0.02624,0.14248,0.06883,0.04666,0.02014,2.25519,4.23047,3.26311,2.30951,3.31078e-05,3.31078e-05,3.31078e-05
100,52433.1,0.6986,1.08983,0.68973,0.94017,0.09041,0.07692,0.05252,0.02294,0.10769,0.07524,0.04603,0.01831,2.26839,4.22335,3.28234,2.31844,2.21089e-05,2.21089e-05,2.21089e-05
